### 시드 스윕 시작 Sat Aug 22 23:27:26     2026  — 짝지은 설계: 같은 시드로 base(fd0) 와 fd0.2 를 함께
### [sw_base_s1] 1단계 Sat Aug 22 23:27:26     2026
====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_v17 — 독립 창 300,000개 (14.6GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.4827 (pw 0.0097 harm 2.1411)  [6s, 8,131 win/s]
  ep  2  loss 0.3159 (pw 0.0069 harm 1.9630)  [7s, 7,646 win/s]
  ep  3  loss 0.2855 (pw 0.0057 harm 1.9139)  [6s, 8,940 win/s]
  ep  4  loss 0.2710 (pw 0.0051 harm 1.8701)  [7s, 7,676 win/s]
  ep  5  loss 0.2479 (pw 0.0043 harm 1.6891)  [7s, 7,446 win/s]
  ep  6  loss 0.2281 (pw 0.0035 harm 1.5522)  [7s, 7,652 win/s]
  ep  7  loss 0.2158 (pw 0.0028 harm 1.4938)  [6s, 8,998 win/s]
  ep  8  loss 0.2163 (pw 0.0026 harm 1.5172)  [5s, 9,153 win/s]
  ep  9  loss 0.2081 (pw 0.0023 harm 1.4787)  [5s, 9,150 win/s]
  ep 10  loss 0.2024 (pw 0.0021 harm 1.4493)  [5s, 9,104 win/s]
  ep 11  loss 0.2005 (pw 0.0019 harm 1.4580)  [5s, 9,133 win/s]
  ep 12  loss 0.1980 (pw 0.0018 harm 1.4536)  [5s, 9,144 win/s]
  ep 13  loss 0.1988 (pw 0.0018 harm 1.4697)  [6s, 8,911 win/s]
  ep 14  loss 0.1954 (pw 0.0017 harm 1.4559)  [6s, 8,641 win/s]
  ep 15  loss 0.1911 (pw 0.0017 harm 1.4180)  [6s, 8,638 win/s]
  ep 16  loss 0.1945 (pw 0.0016 harm 1.4634)  [6s, 8,653 win/s]
