====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_oddmag — 독립 창 300,000개 (18.9GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.6907 (pw 0.0100 harm 3.9979)  [9s, 5,797 win/s]
  ep  2  loss 0.5226 (pw 0.0075 harm 3.8778)  [10s, 4,872 win/s]
  ep  3  loss 0.4913 (pw 0.0061 harm 3.8888)  [9s, 5,754 win/s]
  ep  4  loss 0.4541 (pw 0.0053 harm 3.6578)  [8s, 6,530 win/s]
  ep  5  loss 0.4500 (pw 0.0048 harm 3.6516)  [8s, 6,203 win/s]
  ep  6  loss 0.4240 (pw 0.0040 harm 3.4388)  [6s, 8,275 win/s]
  ep  7  loss 0.4205 (pw 0.0035 harm 3.4470)  [6s, 7,865 win/s]
  ep  8  loss 0.4147 (pw 0.0032 harm 3.4227)  [6s, 8,148 win/s]
  ep  9  loss 0.4136 (pw 0.0028 harm 3.4433)  [6s, 8,542 win/s]
  ep 10  loss 0.4105 (pw 0.0025 harm 3.4546)  |  MAE 8.021W  F1 0.9477  저항3종 0.989  잔차 47.1W  [6s 학습 / 0s 평가, 8,703 win/s]
  ep 11  loss 0.4103 (pw 0.0024 harm 3.4745)  [6s, 8,630 win/s]
  ep 12  loss 0.4073 (pw 0.0023 harm 3.4500)  [10s, 5,189 win/s]
  ep 13  loss 0.3960 (pw 0.0023 harm 3.3657)  [6s, 8,718 win/s]
  ep 14  loss 0.4101 (pw 0.0023 harm 3.5075)  [5s, 9,159 win/s]
  ep 15  loss 0.3950 (pw 0.0021 harm 3.3829)  [7s, 6,886 win/s]
  ep 16  loss 0.4070 (pw 0.0021 harm 3.5122)  [6s, 8,722 win/s]
  ep 17  loss 0.3946 (pw 0.0019 harm 3.4105)  [6s, 8,115 win/s]
